"source","file","size_mb","sha256","description"
"cyberdefenders","cyberdefenders/psexec_hunt.pcapng","9.56","85c1ded1fea23cb9277604f7b26a520718eed47445e4624182beb88c2388357f","psexec_hunt: cyberdefenders lateral movement lab"
"cyberdefenders","cyberdefenders/psexec_hunt_o.pcap","8.89","88d670c1601ba54e70b4757e8870daf2d15d41443bbf7097704b13069cca418a","same file but with .pcap extension"
"cyberdefenders","cyberdefenders/webinvestigation.pcap","28.66","cf31ec09cf2ece5d0a55c750a0fee19af3ab34d4b7125c4781a56025e2721647","cyberdefenders WebInvestigation lab's resource"
"zeek-samples","zeek-samples/DCE_RPC/20-fids.pcap","0.12","e12065d1005c81f24268152afa083083a728ede8b1e938c3b40a8bb178be42c4","sample zeek file"
"zeek-samples","zeek-samples/DCE_RPC/20-fids-no-close.pcap","0.1","ee3d5e1ec7b173ca557c459618adcb135a4a7a459f20b297e0241cbc075bc222","Sample zeek file"
"zeek-samples","zeek-samples/DCE_RPC/mapi.pcap","0.27","63586c45f28a8fe3bcd7653e05c35a8ee5a47cf9d5fa46fc3ebda43de7635424","Sample zeek file"
"zeek-samples","zeek-samples/kerberos/auth.pcap","0","a8ba92a8601cffbd2269c4f186e0af911b9e9ff7dbfd184095eb27053588d8bb","Sample zeek file"
"zeek-samples","zeek-samples/rdp/rdp-proprietary-encryption.pcap","0.14","df7117b972ca63e1c334a543a2883a9d1dbceec50e371d6279e68ba1eafeb73f","Sample zeek file"
"zeek-samples","zeek-samples/rdp/rdp-to-ssl.pcap","0.13","ff44d3567d2583bd17c1a6fdd765049b082c800f671481a4d01bdf70721654eb","Sample zeek file"
"zeek-samples","zeek-samples/smb/smb1.pcap","0.03","481b693d357d02b02210e88805b03db51a4908794174ef49de1c081c55ee5a3a","Sample zeek file"
"zeek-samples","zeek-samples/smb/smb2.pcap","1.53","2985eff0750e2b69fa6df74091b4680e72391f2648c0c29b1bd08d0a64e4b272","Sample zeek file"
"zeek-samples","zeek-samples/smb/smb3.pcap","0.01","1c93655903a730be5cb188a13f22a05ebb5ebc13438f37bee58f8b5e13b09bdb","Sample zeek file"
"zeek-samples","zeek-samples/smb/SMBGhost.pcap","0","feee508e1ba612fe2afab18203ec9a0e8aea20cd55ffdfd9b2fcb897ac360649","Sample zeek file"
